Word,fq_No,prob_no,fq_Yes,prob_yes,fq_total
0,36496,0.11550378,534,0.001426602,37030
จันทร์,28,9.17777E-05,50,0.000135994,78
ม.ค.,0,3.16475E-06,101,0.000271988,101
มกราคม,0,3.16475E-06,46,0.000125328,46
กุมภาพันธ์,0,3.16475E-06,129,0.000346651,129
จ.,99,0.000316475,479,0.001279942,578
มีนาคม,0,3.16475E-06,36,9.86622E-05,36
ก.พ.,0,3.16475E-06,476,0.001271942,476
อังคาร,13,4.43065E-05,48,0.000130661,61
พฤหัสบดี,0,3.16475E-06,45,0.000122661,45
อ.,106,0.000338628,307,0.000821296,413
เม.ย.,0,3.16475E-06,45,0.000122661,45
ศ.,0,3.16475E-06,17,4.79978E-05,17
ส.,16,5.38007E-05,25,6.93302E-05,41
พุธ,13,4.43065E-05,19,5.33309E-05,32
ธันวาคม,108,0.000344957,35,9.59956E-05,143
พ.ค.,0,3.16475E-06,31,8.53295E-05,31
พ.ย.,11,3.7977E-05,21,5.8664E-05,32
ศุกร์,35,0.000113931,24,6.66636E-05,59
เสาร์,78,0.000250015,26,7.19967E-05,104
ธ.ค.,96,0.00030698,0,2.66655E-06,96
อาทิตย์,64,0.000205709,0,2.66655E-06,64
SUN,14,4.74712E-05,0,2.66655E-06,14
May,14,4.74712E-05,0,2.66655E-06,14
December,10,3.48122E-05,0,2.66655E-06,10
Dec,13,4.43065E-05,0,2.66655E-06,13
￼,0,3.16475E-06,20,5.59975E-05,20
��,10,3.48122E-05,0,2.66655E-06,10
',162,0.000515854,566,0.001511931,728
-,907,0.002873591,1334,0.003559839,2241
--,16,5.38007E-05,0,2.66655E-06,16
–,0,3.16475E-06,27,7.46633E-05,27
—,20,6.64597E-05,0,2.66655E-06,20
่,0,3.16475E-06,12,3.46651E-05,12
้,12,4.11417E-05,17,4.79978E-05,29
์,175,0.000556996,230,0.000615972,405
์',0,3.16475E-06,13,3.73316E-05,13
️⃣,14,4.74712E-05,0,2.66655E-06,14
 ,53,0.000170896,19,5.33309E-05,72
 #,31,0.000101272,0,2.66655E-06,31
"
",0,3.16475E-06,35470,0.094585045,35470
​,773,0.002449514,768,0.002050574,1541
​#,44,0.000142414,0,2.66655E-06,44
!,203,0.000645608,405,0.001082618,608
‼,0,3.16475E-06,19,5.33309E-05,19
‼️,0,3.16475E-06,10,2.9332E-05,10
!!,188,0.000598137,370,0.000989288,558
!!!,140,0.000446229,98,0.000263988,238
!!!!,76,0.000243686,11,3.19985E-05,87
!!!!!,25,8.22834E-05,0,2.66655E-06,25
!!!!!!,11,3.7977E-05,0,2.66655E-06,11
!!..,0,3.16475E-06,11,3.19985E-05,11
"""",7123,0.022545659,7939,0.021172374,15062
"์""",0,3.16475E-06,22,6.13306E-05,22
"""""",319,0.001012719,1125,0.003002531,1444
"""""""",24,7.91187E-05,0,2.66655E-06,24
"""""🇹🇭",0,3.16475E-06,14,3.99982E-05,14
"""#",272,0.000863976,90,0.000242656,362
"""?",16,5.38007E-05,0,2.66655E-06,16
"""??",107,0.000341793,0,2.66655E-06,107
"""????",32,0.000104437,0,2.66655E-06,32
"""@",182,0.000579149,123,0.000330652,305
"""[",20,6.64597E-05,0,2.66655E-06,20
"""“",20,6.64597E-05,0,2.66655E-06,20
"""ขอ",19,6.32949E-05,0,2.66655E-06,19
"""คน",19,6.32949E-05,0,2.66655E-06,19
#,14721,0.046591409,7511,0.020031092,22232
#?,13,4.43065E-05,0,2.66655E-06,13
#??,54,0.000174061,0,2.66655E-06,54
#???,51,0.000164567,0,2.66655E-06,51
#????,20,6.64597E-05,0,2.66655E-06,20
#…,0,3.16475E-06,11,3.19985E-05,11
"#…""",0,3.16475E-06,36,9.86622E-05,36
#ขอ,0,3.16475E-06,21,5.8664E-05,21
#ขุณ,22,7.27892E-05,0,2.66655E-06,22
#คน,23,7.59539E-05,0,2.66655E-06,23
#คอล,12,4.11417E-05,0,2.66655E-06,12
#คําคม,53,0.000170896,0,2.66655E-06,53
#น้ํา,33,0.000107601,0,2.66655E-06,33
#ไบร์,106,0.000338628,0,2.66655E-06,106
#ผบทบ,0,3.16475E-06,13,3.73316E-05,13
#พ,14,4.74712E-05,0,2.66655E-06,14
"#พร…""",0,3.16475E-06,10,2.9332E-05,10
#หยิ่น,28,9.17777E-05,0,2.66655E-06,28
#อ,0,3.16475E-06,13,3.73316E-05,13
%,94,0.000300651,31,8.53295E-05,125
&,81,0.000259509,54,0.00014666,135
—&,0,3.16475E-06,12,3.46651E-05,12
(,449,0.001424136,512,0.001367938,961
((,16,5.38007E-05,0,2.66655E-06,16
(@,35,0.000113931,0,2.66655E-06,35
),441,0.001398818,521,0.001391937,962
)),18,6.01302E-05,0,2.66655E-06,18
)@,12,4.11417E-05,0,2.66655E-06,12
*,84,0.000269004,10,2.9332E-05,94
**,63,0.000202544,14,3.99982E-05,77
",",194,0.000617126,175,0.000469312,369
",ผวจ…""",0,3.16475E-06,11,3.19985E-05,11
.,9166,0.029011238,5889,0.015705955,15055
.​,0,3.16475E-06,15,4.26647E-05,15
..,467,0.001481102,624,0.001666591,1091
...,477,0.001512749,442,0.00118128,919
....,113,0.000360781,129,0.000346651,242
.....,28,9.17777E-05,45,0.000122661,73
......,11,3.7977E-05,0,2.66655E-06,11
.........,0,3.16475E-06,13,3.73316E-05,13
..........,0,3.16475E-06,19,5.33309E-05,19
..??,17,5.69655E-05,0,2.66655E-06,17
.????,11,3.7977E-05,0,2.66655E-06,11
.…,0,3.16475E-06,13,3.73316E-05,13
".…""",0,3.16475E-06,49,0.000133327,49
.ท,0,3.16475E-06,12,3.46651E-05,12
.ทพ.,0,3.16475E-06,36,9.86622E-05,36
.ฝ,0,3.16475E-06,23,6.39971E-05,23
｡ﾟ,14,4.74712E-05,0,2.66655E-06,14
｡ﾟ⊹,14,4.74712E-05,0,2.66655E-06,14
/,8714,0.027580772,4844,0.012919414,13558
//,74,0.000237356,0,2.66655E-06,74
/…,0,3.16475E-06,23,6.39971E-05,23
"/…""",0,3.16475E-06,79,0.000213324,79
/ศบภ.ม,0,3.16475E-06,50,0.000135994,50
:,657,0.002082404,11061,0.029497329,11718
:),14,4.74712E-05,0,2.66655E-06,14
://,8299,0.026267402,4974,0.013266065,13273
://…,0,3.16475E-06,14,3.99982E-05,14
"://…""",0,3.16475E-06,66,0.000178659,66
":/…""",0,3.16475E-06,35,9.59956E-05,35
::,11,3.7977E-05,0,2.66655E-06,11
:…,0,3.16475E-06,20,5.59975E-05,20
":…""",0,3.16475E-06,25,6.93302E-05,25
;,47,0.000151908,63,0.000170659,110
;&,0,3.16475E-06,13,3.73316E-05,13
?,1364,0.00431988,208,0.000557308,1572
?#,21,6.96244E-05,0,2.66655E-06,21
??,2379,0.007532098,30,8.26629E-05,2409
"??""",65,0.000208873,0,2.66655E-06,65
??#,46,0.000148743,0,2.66655E-06,46
??%,10,3.48122E-05,0,2.66655E-06,10
??:,31,0.000101272,0,2.66655E-06,31
???,192,0.000610796,15,4.26647E-05,207
????,739,0.002341913,0,2.66655E-06,739
"????""",12,4.11417E-05,0,2.66655E-06,12
????#,18,6.01302E-05,0,2.66655E-06,18
?????,79,0.00025318,0,2.66655E-06,79
??????,464,0.001471607,0,2.66655E-06,464
"??????""",11,3.7977E-05,0,2.66655E-06,11
??????#,12,4.11417E-05,0,2.66655E-06,12
???????,38,0.000123425,0,2.66655E-06,38
????????,135,0.000430406,0,2.66655E-06,135
?????????,11,3.7977E-05,0,2.66655E-06,11
??????????,83,0.000265839,0,2.66655E-06,83
????????????,34,0.000110766,0,2.66655E-06,34
??????????????,29,9.49424E-05,0,2.66655E-06,29
????????????????,18,6.01302E-05,0,2.66655E-06,18
??????????????????,10,3.48122E-05,0,2.66655E-06,10
????????????????????,10,3.48122E-05,0,2.66655E-06,10
@,9199,0.029115675,20065,0.053506908,29264
@_,57,0.000183555,0,2.66655E-06,57
@__,10,3.48122E-05,0,2.66655E-06,10
[,15,5.0636E-05,27,7.46633E-05,42
],44,0.000142414,25,6.93302E-05,69
^,10,3.48122E-05,0,2.66655E-06,10
^^,34,0.000110766,11,3.19985E-05,45
_,2417,0.007652359,6448,0.017196554,8865
_:,0,3.16475E-06,21,5.8664E-05,21
__,62,0.000199379,18,5.06644E-05,80
___,10,3.48122E-05,0,2.66655E-06,10
|,53,0.000170896,72,0.000194658,125
~,60,0.00019305,0,2.66655E-06,60
~~,13,4.43065E-05,0,2.66655E-06,13
‘,21,6.96244E-05,137,0.000367983,158
’,59,0.000189885,150,0.000402648,209
“,117,0.00037344,1788,0.00477045,1905
“ผม,0,3.16475E-06,21,5.8664E-05,21
“ม,0,3.16475E-06,53,0.000143993,53
”,105,0.000335463,1991,0.005311759,2096
์”,0,3.16475E-06,14,3.99982E-05,14
"”…""",0,3.16475E-06,16,4.53313E-05,16
฿,86,0.000275333,0,2.66655E-06,86
+,142,0.000452559,423,0.001130615,565
<,11,3.7977E-05,0,2.66655E-06,11
=,60,0.00019305,0,2.66655E-06,60
>,16,5.38007E-05,0,2.66655E-06,16
><,18,6.01302E-05,0,2.66655E-06,18
>>,14,4.74712E-05,0,2.66655E-06,14
⊹,14,4.74712E-05,0,2.66655E-06,14
◦,0,3.16475E-06,20,5.59975E-05,20
…,0,3.16475E-06,2200,0.005869067,2200
"…""",0,3.16475E-06,2814,0.007506326,2814
☎️,15,5.0636E-05,16,4.53313E-05,31
☑️,22,7.27892E-05,0,2.66655E-06,22
☺️,20,6.64597E-05,0,2.66655E-06,20
✔,10,3.48122E-05,0,2.66655E-06,10
❤,13,4.43065E-05,0,2.66655E-06,13
❤️,58,0.00018672,14,3.99982E-05,72
✅,22,7.27892E-05,0,2.66655E-06,22
✨,16,5.38007E-05,0,2.66655E-06,16
•,42,0.000136084,14,3.99982E-05,56
0,1118,0.003541352,820,0.002189234,1938
0,75,0.000240521,16,4.53313E-05,91
1,36,0.000117096,0,2.66655E-06,36
1,17,5.69655E-05,0,2.66655E-06,17
1170751,14,4.74712E-05,0,2.66655E-06,14
18,0,3.16475E-06,71,0.000191991,71
2,34,0.000110766,309,0.000826629,343
3,11,3.7977E-05,12,3.46651E-05,23
4,37,0.00012026,0,2.66655E-06,37
5,37,0.00012026,16,4.53313E-05,53
6,14,4.74712E-05,0,2.66655E-06,14
651055524,13,4.43065E-05,0,2.66655E-06,13
7,20,6.64597E-05,39,0.000106662,59
8,10,3.48122E-05,0,2.66655E-06,10
80,18,6.01302E-05,0,2.66655E-06,18
804199298,12,4.11417E-05,0,2.66655E-06,12
9,32,0.000104437,24,6.66636E-05,56
9,12,4.11417E-05,14,3.99982E-05,26
90,16,5.38007E-05,0,2.66655E-06,16
98,10,3.48122E-05,0,2.66655E-06,10
1,2108,0.006674452,2920,0.00778898,5028
๑,0,3.16475E-06,51,0.00013866,51
"1,000",0,3.16475E-06,31,8.53295E-05,31
"1,620",0,3.16475E-06,20,5.59975E-05,20
1,18,6.01302E-05,43,0.000117328,61
10,252,0.000800681,219,0.00058664,471
10,33,0.000107601,22,6.13306E-05,55
10.3,0,3.16475E-06,12,3.46651E-05,12
100,115,0.000367111,71,0.000191991,186
1000,39,0.00012659,0,2.66655E-06,39
10000,14,4.74712E-05,0,2.66655E-06,14
101,14,4.74712E-05,0,2.66655E-06,14
105,0,3.16475E-06,13,3.73316E-05,13
11,140,0.000446229,147,0.000394649,287
112233,0,3.16475E-06,48,0.000130661,48
12,136,0.00043357,251,0.00067197,387
"๑๒,",0,3.16475E-06,12,3.46651E-05,12
120,0,3.16475E-06,32,8.7996E-05,32
1204,14,4.74712E-05,0,2.66655E-06,14
1212,11,3.7977E-05,0,2.66655E-06,11
123,16,5.38007E-05,0,2.66655E-06,16
127,18,6.01302E-05,0,2.66655E-06,18
13,77,0.00024685,147,0.000394649,224
13,0,3.16475E-06,19,5.33309E-05,19
130,10,3.48122E-05,0,2.66655E-06,10
1300,14,4.74712E-05,0,2.66655E-06,14
1300,13,4.43065E-05,0,2.66655E-06,13
132,0,3.16475E-06,11,3.19985E-05,11
138,0,3.16475E-06,19,5.33309E-05,19
14,55,0.000177226,61,0.000165326,116
1400,14,4.74712E-05,0,2.66655E-06,14
15,95,0.000303816,105,0.000282654,200
150,11,3.7977E-05,0,2.66655E-06,11
1500,31,0.000101272,0,2.66655E-06,31
16,44,0.000142414,133,0.000357317,177
16,0,3.16475E-06,24,6.66636E-05,24
160,18,6.01302E-05,0,2.66655E-06,18
1606,11,3.7977E-05,0,2.66655E-06,11
17,60,0.00019305,170,0.000455979,230
170,10,3.48122E-05,0,2.66655E-06,10
18,92,0.000294321,165,0.000442647,257
18,13,4.43065E-05,0,2.66655E-06,13
180,11,3.7977E-05,0,2.66655E-06,11
19,117,0.00037344,369,0.000986622,486
๑๙,0,3.16475E-06,13,3.73316E-05,13
191,0,3.16475E-06,25,6.93302E-05,25
